,Intercept,Slope,R.squared,slope.std
ACAN,0.179454975119897,0.914702911650916,0.9,0.112015717640788
ACE2,-0.0144199545192429,1.01872360973609,0.9,0.1350182214683
ACP5,-0.0282098800556964,1.03763985012688,0.9,0.192296134345204
ACP6,0.217945950714962,0.52138704355927,0.6,0.203182744712156
ACTA2,0.0820205588023893,0.792041228302691,0.6,0.332485412876775
ACVRL1,0.23562292687534,0.556821743273337,0.5,0.287746329343661
ACY1,-0.0739687086127732,0.990115553973736,0.9,0.182125952247734
ADA2,0.100871192838507,0.905787825074791,1,0.0839568051748911
ADAM15,0.456653203524604,0.765341777953985,0.7,0.248017001175535
ADAM22,0.0705903723394008,0.659512517666262,0.8,0.183696136497224
ADAM23,-0.0364700525604413,1.01650378923905,0.8,0.220986931840516
ADAMTS13,0.0831927686737602,0.711896117509314,0.7,0.220603297297224
ADAMTS15,0.425410496461022,0.634003854565089,0.5,0.310681870539994
ADAMTS8,0.0920346752983597,0.883976241704069,0.9,0.120422779943476
ADGRB3,-0.0230798478054349,0.857922383006236,0.7,0.259735047725203
ADGRE2,0.113100753604216,0.832068294745096,0.8,0.178919145446766
ADGRE5,0.0506634232593701,0.836125833582158,0.8,0.181682939365376
ADGRG1,-0.00993947867387347,0.674932596688974,0.5,0.350115076223111
ADGRG2,0.239139461419744,0.843879011666316,0.8,0.220101933407094
ADH4,-0.264267720014103,0.731004723021717,0.9,0.147946115336327
ADM,-0.00275780718011854,0.99074101804979,0.8,0.260375488857411
AFP,-0.0442298588695599,0.980029475605408,0.9,0.1293759097954
AGER,0.0545607233253957,0.746951927090448,0.9,0.135702020660733
AGR2,0.580354002544934,0.553413343471689,0.5,0.258288380591061
AGR3,0.0758293425330944,0.698457281219068,0.5,0.366717621882777
AGRP,-0.189096800104662,1.06592263800716,0.7,0.349302951170164
AGXT,0.0672082644864197,0.959317654289919,1,0.0810991225631899
ALCAM,0.268565922574491,0.682558173832645,0.5,0.31596903340438
ALDH3A1,0.0819504927685519,0.807948814952054,0.9,0.126914039552084
ALPP,-0.105518725881041,1.03765346696693,0.9,0.178457580240661
AMBN,-0.225131190192818,1.06308872156925,1,0.0860842747302072
AMBP,0.0236146321394352,1.03462251083135,0.8,0.263832383685952
